img,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,dining table,dog,horse,motorbike,person,potted plant,sheep,sofa,train,tv
000005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
000007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
000009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
000012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
000016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
000019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
000020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
000021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
000023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
000026,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
000030,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
000032,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
000033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
000035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
000036,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
000039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
000041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
000042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
000044,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
000046,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000047,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
000048,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
000050,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
000051,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
000052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
000060,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
000061,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000063,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
000064,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000065,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
000066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
